parcel_id,apn,county_fips,lot_sqft,zoning_code,zoning_allows_surface_parking,is_corner_lot,distance_to_nearest_demand_m,score_identification,score_entitlement,score_strategic,centroid_lon,centroid_lat
ebc4190d-0980-44e8-b3bc-fd0c9b592f2a,033-957250TRCT,53033,9453.173798595217,,false,false,15635.378286612458,,,,-122.28498805400086,47.469231969684344
35b54a97-4502-4a3c-a0f7-74390a280ea1,033-9573000010,53033,16965.581162200077,,false,false,14086.507556901212,25.0,,,-122.25116988027776,47.7205580719089
85920fa5-ba1c-484d-a3a3-8b559481ca40,033-9573000020,53033,15937.374458142593,,false,false,14073.942594153466,,,,-122.25170314920702,47.720603564779516
fead326f-ce9f-47c7-8c3b-46bc531ec322,033-9573000030,53033,15094.48597700869,,false,false,14043.003512035602,,,,-122.25171784813897,47.720300279557875
31a17e2f-d65d-438a-a097-1e0d71b17cd1,033-9573000040,53033,13872.63402521962,,false,false,14010.560238593005,25.0,,,-122.25178179691964,47.71999765856866
066de1cb-476c-4d6b-a82a-366285f6446e,033-9573000050,53033,13488.887731821138,,false,false,13981.901023931297,25.0,,,-122.25180244357118,47.719718773555975
29da8e9f-6177-4d6f-81f9-a04e1b65db27,033-9573000060,53033,20501.12913639524,,false,false,13901.72962622184,25.0,,,-122.2527442968727,47.719221637998054
dc2ff71c-1289-47c3-9779-0f6c994b7082,033-9573000070,53033,14354.39462140858,,false,false,13909.419163304445,,,,-122.25233504225244,47.7191674529374
210014d4-7997-4e99-a7c9-a3f963434853,033-9573000080,53033,14577.650794397623,,false,false,13922.46187268282,25.0,,,-122.25192522169367,47.719165803521165
ff18c7ac-8b8a-4176-92f5-844365492709,033-9573000090,53033,17099.56995913351,,false,false,13942.586533608674,,,,-122.25143146066632,47.719207105238766
30de7bed-9d21-40c6-9b4b-ee9b885dbc78,033-9573000100,53033,19009.796607393328,,false,false,13971.308394093348,25.0,,,-122.25108432433751,47.7193812713915
3b03689c-bda5-4f9d-a062-2dbab9a2d4fc,033-9573000110,53033,11298.820723747473,,false,false,14008.23331955675,25.0,,,-122.25106889480136,47.71974490425278
dd0fa505-f73e-4191-b770-7f8c1e50b79d,033-9573000120,53033,13195.963357867742,,false,false,14041.513964220003,,,,-122.25103100510565,47.72006473696329
2ff0bf9f-a9f8-453b-bf31-2d95fe3ad926,033-9573000130,53033,90583.51835807154,,false,false,13917.22224502422,25.0,,,-122.25308502382262,47.71948388571194
03945b81-9293-4478-9fbf-7003989adbd2,033-9573120010,53033,10996.49390840771,,false,false,14621.609315693822,25.0,,,-122.2456286319033,47.72409689763013
